slug,car_autohome_model_id,id,source_id,name,alias,url,parent,checker_runtime_id,keywords,classified,classified_url,slug_global,logo_img,mum,first_letter,has_detailmodel,starting_price,classified_slug,thumbnail,pinyin,status,attribute,units,popular,on_sale,score,normalized_name,brand_area
car_autohome_model_15,15,3217.0,,宝来/宝来经典,,,dazhong,,",baolai/baolaijingdian,宝来/宝来经典,baolai/baolaijingdian",紧凑型车,,,e177142e7747d56512d963f9734be510.png,一汽-大众,B,1,,,e177142e7747d56512d963f9734be510.png?imageView2/1/w/160/h/80/,baolai/baolaijingdian,Y,国产,0,B,1,0,宝来/宝来经典,
jetta,16,448.0,6.0,捷达,,http://www.ganji.com/jetta/,dazhong,8294.0,",jieda,捷达,jieda",紧凑型车,http://www.taoche.com/buycar/cc/7/,,4d383fbcd9826bca31218f7dd2fce7bed2859f74.jpg,一汽-大众,J,1,10.8,compact_car,4d383fbcd9826bca31218f7dd2fce7bed2859f74.jpg?imageView2/1/w/160/h/80/,jieda,Y,合资,0,B,1,0,捷达,
turui-hunhe,82,480.0,6.0,途锐,,http://www.ganji.com/turui-hunhe/,dazhong,8326.0,",turui,途锐,turui",中大型SUV,,,1e836635a445d96e74b896f050b18bfbdf40d68a.jpg,大众(进口),T,1,87.0,large_suv,1e836635a445d96e74b896f050b18bfbdf40d68a.jpg?imageView2/1/w/160/h/80/,turui,Y,进口,0,B,1,0,途锐,
xialang,86,460.0,6.0,夏朗,,http://www.ganji.com/xialang/,dazhong,8306.0,",xialang,夏朗,xialang",MPV,http://www.taoche.com/buycar/cc/5/,,913c6e25eff9a70519965af2c03a03b0585f0493.jpg,大众(进口),X,1,34.9,mpv,913c6e25eff9a70519965af2c03a03b0585f0493.jpg?imageView2/1/w/160/h/80/,xialang,Y,进口,0,B,1,0,夏朗,
gaoer,144,464.0,6.0,高尔,,http://www.ganji.com/gaoer/,dazhong,8310.0,",gaoer,高尔,gaoer",小型车,http://www.taoche.com/buycar/cc/4/,,004c0b7552af708641607fd4dc6ba94c.jpg,上汽大众,G,1,8.3,small_car,004c0b7552af708641607fd4dc6ba94c.jpg?imageView2/1/w/160/h/80/,gaoer,Y,合资,0,B,1,0,高尔,
dazhong-polo,145,1251.0,1.0,Polo,,www.baixing.com/ershouqiche/m9690/,dazhong,,",Polo,Polo,Polo",小型车,http://www.taoche.com/buycar/cc/4/,,661a58b2b56f09e1641081d658eb35a5f0d763cf.jpg,上汽大众,P,1,11.2,small_car,661a58b2b56f09e1641081d658eb35a5f0d763cf.jpg?imageView2/1/w/160/h/80/,Polo,Y,合资,0,B,1,0,Polo,
car_autohome_model_149,149,3218.0,,桑塔纳经典,,,dazhong,,",sangtanajingdian,桑塔纳经典,sangtanajingdian",中型车,,,7443a4379eff541fc00d435837295011.png,上汽大众,S,1,,,7443a4379eff541fc00d435837295011.png?imageView2/1/w/160/h/80/,sangtanajingdian,Y,国产,0,B,1,0,桑塔纳经典,
car_autohome_model_207,207,3219.0,,桑塔纳志俊,,,dazhong,,",sangtanazhijun,桑塔纳志俊,sangtanazhijun",中型车,,,c09c33d56522495174cde8ea117692fd.png,上汽大众,S,1,,,c09c33d56522495174cde8ea117692fd.png?imageView2/1/w/160/h/80/,sangtanazhijun,Y,国产,0,B,1,0,桑塔纳志俊,
jiakechong,210,454.0,6.0,甲壳虫,,http://www.ganji.com/jiakechong/,dazhong,8300.0,",jiakechong,甲壳虫,jiakechong",紧凑型车,http://www.taoche.com/buycar/cc/7/,,26c7cbc462b523db9bbd719d601f53f8011a4d5e.jpg,大众(进口),J,1,28.2,compact_car,26c7cbc462b523db9bbd719d601f53f8011a4d5e.jpg?imageView2/1/w/160/h/80/,jiakechong,Y,进口,0,B,1,0,甲壳虫,
huiteng,224,453.0,6.0,辉腾,,http://www.ganji.com/huiteng/,dazhong,8299.0,",huiteng,辉腾,huiteng",大型车,http://www.taoche.com/buycar/cc/1/,,c34a159d1e5007ae7941cab09d7f37ef13010380.jpg,大众(进口),H,1,122.6,luxury_car,c34a159d1e5007ae7941cab09d7f37ef13010380.jpg?imageView2/1/w/160/h/80/,huiteng,Y,进口,0,B,1,0,辉腾,
dazhong-tuan,333,470.0,6.0,途安,,http://www.ganji.com/dazhong-tuan/,dazhong,8316.0,",tuan,途安,tuan",MPV,http://www.taoche.com/buycar/cc/5/,,02a1ed2b9e6c0a310abf6c87aaf8d88684b34e65.jpg,上汽大众,T,1,19.6,mpv,02a1ed2b9e6c0a310abf6c87aaf8d88684b34e65.jpg?imageView2/1/w/160/h/80/,tuan,Y,合资,0,B,1,0,途安,
kaidi,360,1259.0,1.0,开迪,,www.baixing.com/ershouqiche/m10419/,dazhong,,",kaidi,开迪,kaidi",MPV,http://www.taoche.com/buycar/cc/5/,,kaidi.jpg,一汽-大众,K,1,14.6,mpv,kaidi.jpg?imageView2/1/w/160/h/80/,kaidi,Y,合资,0,B,1,0,开迪,
passat-jinkou,368,1254.0,1.0,Passat,R36,www.baixing.com/ershouqiche/m10245/,dazhong,,",Passat,Passat,Passat",中型车,http://www.taoche.com/buycar/cc/6/,,dazhongPassat(jinkou).jpg,大众(进口),P,1,33.5,mid_car,dazhongPassat(jinkou).jpg?imageView2/1/w/160/h/80/,Passat,Y,进口,0,B,1,0,Passat,
golf-jinkou,372,1256.0,1.0,高尔夫(进口),,www.baixing.com/ershouqiche/m10340/,dazhong,,",gaoerfu(jinkou),高尔夫(进口),gaoerfu(jinkou)",紧凑型车,http://www.taoche.com/buycar/cc/7/,,b039fa0655833e897986d7df2f7f4f9f57156f89.jpg,大众(进口),G,1,35.5,compact_car,b039fa0655833e897986d7df2f7f4f9f57156f89.jpg?imageView2/1/w/160/h/80/,gaoerfu(jinkou),Y,进口,0,B,1,0,高尔夫(进口),
dazhong-eos,430,451.0,6.0,大众Eos,,http://www.ganji.com/dazhong-eos/,dazhong,8297.0,",dazhongEos,大众Eos,dazhongEos",跑车,http://www.taoche.com/buycar/cc/9/,,8943fe5f7849f91166fdba6a565654cedd743d9f.jpg,大众(进口),D,1,44.6,sc,8943fe5f7849f91166fdba6a565654cedd743d9f.jpg?imageView2/1/w/160/h/80/,dazhongEos,Y,进口,0,B,1,0,大众Eos,
suteng,442,473.0,6.0,速腾,,http://www.ganji.com/suteng/,dazhong,8319.0,",suteng,速腾,suteng",紧凑型车,http://www.taoche.com/buycar/cc/7/,,fdbf1bfc1a75e55629d94e4fb4c5f3b0a18860bd.jpg,一汽-大众,S,1,16.1,compact_car,fdbf1bfc1a75e55629d94e4fb4c5f3b0a18860bd.jpg?imageView2/1/w/160/h/80/,suteng,Y,合资,0,B,1,0,速腾,
maiteng,496,455.0,6.0,迈腾,,http://www.ganji.com/maiteng/,dazhong,8301.0,",maiteng,迈腾,maiteng",中型车,http://www.taoche.com/buycar/cc/6/,,8e76f818618f448734ce419d7eaf6b19f8a422d6.jpg,一汽-大众,M,1,23.8,mid_car,8e76f818618f448734ce419d7eaf6b19f8a422d6.jpg?imageView2/1/w/160/h/80/,maiteng,Y,合资,0,B,1,0,迈腾,
passat,528,457.0,6.0,帕萨特,,http://www.ganji.com/passat/,dazhong,8303.0,",pasate,帕萨特,pasate",中型车,http://www.taoche.com/buycar/cc/6/,,9bebd30697fb5d21bc1a8c60097df032ef8f14b3.jpg,上汽大众,P,1,22.8,mid_car,9bebd30697fb5d21bc1a8c60097df032ef8f14b3.jpg?imageView2/1/w/160/h/80/,pasate,Y,合资,0,B,1,0,帕萨特,
maitengjinkou,539,1489.0,2224.0,迈腾(进口),,http://www.che168.com/china/dazhong/maitengjinkou/,dazhong,,",maiteng(jinkou),迈腾(进口),maiteng(jinkou)",中型车,,,05cccc0069dc79d52f00958dcb29f52e.jpg,大众(进口),M,1,38.2,mid_car,05cccc0069dc79d52f00958dcb29f52e.jpg?imageView2/1/w/160/h/80/,maiteng(jinkou),Y,进口,0,B,1,0,迈腾(进口),
tiguan,557,458.0,6.0,Tiguan,,http://www.ganji.com/tiguan/,dazhong,8304.0,",Tiguan,Tiguan,Tiguan",紧凑型SUV,http://www.taoche.com/buycar/cc/8/,,0d91b81b67fb6e4745c25de3f99dd2f4013ad21a.jpg,大众(进口),T,1,37.9,compact_suv,0d91b81b67fb6e4745c25de3f99dd2f4013ad21a.jpg?imageView2/1/w/160/h/80/,Tiguan,Y,进口,0,B,1,0,Tiguan,
langyi,614,465.0,6.0,朗逸,,http://www.ganji.com/langyi/,dazhong,8311.0,",langyi,朗逸,langyi",紧凑型车,http://www.taoche.com/buycar/cc/7/,,91ff380e7a146db9789de9c44882b1d6688d1b15.jpg,上汽大众,L,1,13.8,compact_car,91ff380e7a146db9789de9c44882b1d6688d1b15.jpg?imageView2/1/w/160/h/80/,langyi,Y,合资,0,B,1,0,朗逸,
dazhong-maiweitejinkou,631,2155.0,0.0,迈特威,,,dazhong,,",maitewei,迈特威,maitewei",MPV,,,dazhongmaitewei(jinkou).jpg,大众(进口),M,1,58.0,mpv,dazhongmaitewei(jinkou).jpg?imageView2/1/w/160/h/80/,maitewei,Y,进口,0,B,1,0,迈特威,
baolai,633,1250.0,1.0,宝来,,www.baixing.com/ershouqiche/m9989/,dazhong,,",baolai,宝来,baolai",紧凑型车,http://www.taoche.com/buycar/cc/5/,,3f2235123b4f7b1d094ed8708e9941df011e49e5.jpg,一汽-大众,B,1,14.7,compact_car,3f2235123b4f7b1d094ed8708e9941df011e49e5.jpg?imageView2/1/w/160/h/80/,baolai,Y,合资,0,B,1,0,宝来,
shangku,669,475.0,6.0,尚酷,,http://www.ganji.com/shangku/,dazhong,8321.0,",shangku,尚酷,shangku",跑车,http://www.taoche.com/buycar/cc/7/,,91acb644af12274c5451bce04d858b8497691dd7.jpg,大众(进口),S,1,30.4,sc,91acb644af12274c5451bce04d858b8497691dd7.jpg?imageView2/1/w/160/h/80/,shangku,Y,进口,0,B,1,0,尚酷,
dazhong-cc-jinkou,700,477.0,6.0,大众CC,,http://www.ganji.com/dazhong-cc-jinkou/,dazhong,8323.0,",dazhongCC,大众CC,dazhongCC",中型车,http://www.taoche.com/buycar/cc/6/,,cf0028538201b821c4298dcda3ac838c1ae720a2.jpg,大众(进口),D,1,49.9,mid_car,cf0028538201b821c4298dcda3ac838c1ae720a2.jpg?imageView2/1/w/160/h/80/,dazhongCC,Y,进口,0,B,1,0,大众CC,
dazhongupjinkou,780,2713.0,,大众up!,,,dazhong,,",dazhongup!,大众up!,dazhongup!",微型车,,,69669d5306776550e62241e8a245a1bb.png,大众(进口),D,1,,mini_car,69669d5306776550e62241e8a245a1bb.png?imageView2/1/w/160/h/80/,dazhongup!,Y,进口,0,B,1,0,大众up!,
car_autohome_model_826,826,3220.0,,Passat领驭,,,dazhong,,",Passatlingyu,Passat领驭,Passatlingyu",中型车,,,f826de6404d053866383fdde55dd8d7e.png,上汽大众,P,1,,,f826de6404d053866383fdde55dd8d7e.png?imageView2/1/w/160/h/80/,Passatlingyu,Y,国产,0,B,1,0,Passat领驭,
golf,871,472.0,6.0,高尔夫,,http://www.ganji.com/golf/,dazhong,8318.0,",gaoerfu,高尔夫,gaoerfu",紧凑型车,http://www.taoche.com/buycar/cc/7/,,d256e2bd21987e97691f371221e9a4de0ea26af5.jpg,一汽-大众,G,1,15.1,compact_car,d256e2bd21987e97691f371221e9a4de0ea26af5.jpg?imageView2/1/w/160/h/80/,gaoerfu,Y,合资,0,B,1,0,高尔夫,
tuguan,874,478.0,6.0,途观,,http://www.ganji.com/tuguan/,dazhong,8324.0,",tuguan,途观,tuguan",紧凑型SUV,http://www.taoche.com/buycar/cc/8/,,33e702238b342da866e684d2e3a0e9ff4d10b1a3.jpg,上汽大众,T,1,24.8,compact_suv,33e702238b342da866e684d2e3a0e9ff4d10b1a3.jpg?imageView2/1/w/160/h/80/,tuguan,Y,合资,0,B,1,0,途观,
dazhong-cc,905,450.0,6.0,一汽-大众CC,,http://www.ganji.com/dazhong-cc/,dazhong,8296.0,",yiqi-dazhongCC,一汽-大众CC,yiqi-dazhongCC",中型车,http://www.taoche.com/buycar/cc/6/,,7ad94e2d85c5362ce9e1562c40162c362e2fc6bb.jpg,一汽-大众,Y,1,28.2,mid_car,7ad94e2d85c5362ce9e1562c40162c362e2fc6bb.jpg?imageView2/1/w/160/h/80/,yiqi-dazhongCC,Y,合资,0,B,1,0,一汽-大众CC,
santana,2922,449.0,6.0,桑塔纳,,http://www.ganji.com/santana/,dazhong,8295.0,",sangtana,桑塔纳,sangtana",紧凑型车,http://www.taoche.com/buycar/cc/6/,,dazhongsangtana.jpg,上汽大众,S,1,10.4,compact_car,dazhongsangtana.jpg?imageView2/1/w/160/h/80/,sangtana,Y,合资,0,B,1,0,桑塔纳,
dazhong-langxing,3103,2143.0,0.0,朗行,,,dazhong,,",langxing,朗行,langxing",紧凑型车,,,fe2875fd79fdb3d02bf42e72adcd1433123c8fe2.jpg,上汽大众,L,1,14.4,compact_car,fe2875fd79fdb3d02bf42e72adcd1433123c8fe2.jpg?imageView2/1/w/160/h/80/,langxing,Y,合资,0,B,1,0,朗行,
dazhong-langjing,3197,2142.0,0.0,朗境,,,dazhong,,",langjing,朗境,langjing",紧凑型车,,,dazhonglangjing.jpg,上汽大众,L,1,16.3,compact_car,dazhonglangjing.jpg?imageView2/1/w/160/h/80/,langjing,Y,合资,0,B,1,0,朗境,
dazhongkailuweijinkou,3416,2666.0,,凯路威,,,dazhong,,",kailuwei,凯路威,kailuwei",MPV,,,b77ac48617abd52817360589a5a0c9ac.png,大众(进口),K,1,,mpv,b77ac48617abd52817360589a5a0c9ac.png?imageView2/1/w/160/h/80/,kailuwei,Y,进口,0,B,1,0,凯路威,
dazhonglingdu,3457,2425.0,,凌渡,,,dazhong,,",lingdu,凌渡,lingdu",紧凑型车,,,f8c1fbce7c9290cfcb6f47983dc2a6f8.jpg,上汽大众,L,1,18.1,compact_car,f8c1fbce7c9290cfcb6f47983dc2a6f8.jpg?imageView2/1/w/160/h/80/,lingdu,Y,合资,0,B,1,0,凌渡,
dazhonggaoerfujialv,3964,2676.0,,高尔夫・嘉旅,,,dazhong,,",gaoerfu・jialv,高尔夫・嘉旅,gaoerfu・jialv",紧凑型车,,,324921e7004e796efccada3c860899b9.png,一汽-大众,G,1,,compact_car,324921e7004e796efccada3c860899b9.png?imageView2/1/w/160/h/80/,gaoerfu・jialv,Y,合资,0,B,1,0,高尔夫・嘉旅,
dazhongweilanjinkou,3999,2621.0,,蔚揽,,,dazhong,,",weilan,蔚揽,weilan",中型车,,,e9376faa936bbc7da8ce446e6683eedc.png,大众(进口),W,1,,mid_car,e9376faa936bbc7da8ce446e6683eedc.png?imageView2/1/w/160/h/80/,weilan,Y,进口,0,B,1,0,蔚揽,
dazhonghuiang,4045,2738.0,,辉昂,,,dazhong,,",huiang,辉昂,huiang",中大型车,,,26fd61a154b792c2f365ee63db9384ec.png,上汽大众,H,1,,large_car,26fd61a154b792c2f365ee63db9384ec.png?imageView2/1/w/160/h/80/,huiang,Y,合资,0,B,1,0,辉昂,
dzhngwilng,4204,2754.0,,C-TREK蔚领,,,dazhong,,",C-TREKweiling,C-TREK蔚领,C-TREKweiling",紧凑型车,,,6679d49df5bb4d4255dab4ef857ae7ba.png,一汽-大众,C,1,,compact_car,6679d49df5bb4d4255dab4ef857ae7ba.png?imageView2/1/w/160/h/80/,C-TREKweiling,Y,合资,0,B,1,0,C-TREK蔚领,
dzhngtng,4232,2801.0,,途昂,,,dazhong,,",tuang,途昂,tuang",中大型SUV,,,ec3d8cacbb1bddda7cbd7a7559f6c8f7.png,上汽大众,T,1,,large_suv,ec3d8cacbb1bddda7cbd7a7559f6c8f7.png?imageView2/1/w/160/h/80/,tuang,Y,合资,0,B,1,0,途昂,
dzhngtganL,4274,2773.0,,途观L,,,dazhong,,",tuguanL,途观L,tuguanL",中型SUV,,,afd3139b35908b7f71793c2903cc8e00.png,上汽大众,T,1,,mid_suv,afd3139b35908b7f71793c2903cc8e00.png?imageView2/1/w/160/h/80/,tuguanL,Y,合资,0,B,1,0,途观L,
car_autohome_model_4330,4330,3221.0,,大众e-up!,,,dazhong,,",dazhonge-up!,大众e-up!,dazhonge-up!",微型车,,,7c35e606114c9dcd3614daa2a5ac78cb.png,大众(进口),D,1,,,7c35e606114c9dcd3614daa2a5ac78cb.png?imageView2/1/w/160/h/80/,dazhonge-up!,Y,国产,0,B,1,0,大众e-up!,
landekuluze,45,534.0,6.0,兰德酷路泽,陆地巡洋舰,http://www.ganji.com/landekuluze/,toyota,,",landekuluze,兰德酷路泽,landekuluze",中大型SUV,http://www.taoche.com/buycar/cc/8/,,1b52d3a6b93b00030887b0a609d72ccc9d4c7d2a.jpg,一汽丰田,L,1,78.0,large_suv,1b52d3a6b93b00030887b0a609d72ccc9d4c7d2a.jpg?imageView2/1/w/160/h/80/,landekuluze,Y,合资,0,B,1,0,兰德酷路泽,
puladuo,46,528.0,6.0,普拉多,霸道,http://www.ganji.com/puladuo/,toyota,,",puladuo,普拉多,puladuo",中大型SUV,http://www.taoche.com/buycar/cc/8/,,fb303c1307412a8535b04298dcfdc5b8b0f84fed.jpg,一汽丰田,P,1,55.2,large_suv,fb303c1307412a8535b04298dcfdc5b8b0f84fed.jpg?imageView2/1/w/160/h/80/,puladuo,Y,合资,0,B,1,0,普拉多,
puruiweiya,107,523.0,6.0,普瑞维亚,大霸王,http://www.ganji.com/puruiweiya/,toyota,,",puruiweiya,普瑞维亚,puruiweiya",MPV,http://www.taoche.com/buycar/cc/5/,,851a8df9fc96615d3d2512ed0ffc24daf72a06b1.jpg,丰田(进口),P,1,51.0,mpv,851a8df9fc96615d3d2512ed0ffc24daf72a06b1.jpg?imageView2/1/w/160/h/80/,puruiweiya,Y,进口,0,B,1,0,普瑞维亚,
huaguan,109,529.0,6.0,花冠,,http://www.ganji.com/huaguan/,toyota,,",huaguan,花冠,huaguan",紧凑型车,http://www.taoche.com/buycar/cc/7/,,b6ab88f64cd5d219c8f3e07ca24a10c085ce0cfc.jpg,一汽丰田,H,1,13.9,compact_car,b6ab88f64cd5d219c8f3e07ca24a10c085ce0cfc.jpg?imageView2/1/w/160/h/80/,huaguan,Y,合资,0,B,1,0,花冠,
kaimeirui,110,525.0,6.0,凯美瑞,,http://www.ganji.com/kaimeirui/,toyota,,",kaimeirui,凯美瑞,kaimeirui",中型车,http://www.taoche.com/buycar/cc/6/,,1b0a072c9ba2e0f61d26a17a6b603cae08418873.jpg,广汽丰田,K,1,22.9,mid_car,1b0a072c9ba2e0f61d26a17a6b603cae08418873.jpg?imageView2/1/w/160/h/80/,kaimeirui,Y,合资,0,B,1,0,凯美瑞,
weichi,111,1498.0,2224.0,威驰,,http://www.che168.com/china/fengtian/weichi/,toyota,,",weichi,威驰,weichi",小型车,,,b3006a903d7cb8a6fbf4d8c17e935d9fefa9d479.jpg,一汽丰田,W,1,11.2,small_car,b3006a903d7cb8a6fbf4d8c17e935d9fefa9d479.jpg?imageView2/1/w/160/h/80/,weichi,Y,合资,0,B,1,0,威驰,
toyota-terui,170,2308.0,0.0,特锐,,,toyota,,",terui,特锐,terui",小型SUV,,,u_260163086607.jpg,一汽丰田,T,1,11.8,small_suv,u_260163086607.jpg?imageView2/1/w/160/h/80/,terui,Y,合资,0,B,1,0,特锐,
toyota-rav4-jinkou,206,1329.0,1.0,丰田RAV4(进口),,www.baixing.com/ershouqiche/m10886/,toyota,,",fengtianRAV4(jinkou),丰田RAV4(进口),fengtianRAV4(jinkou)",紧凑型SUV,http://www.taoche.com/buycar/cc/8/,,fengtianRAV4(jinkou).jpg,丰田(进口),F,1,33.1,compact_suv,fengtianRAV4(jinkou).jpg?imageView2/1/w/160/h/80/,fengtianRAV4(jinkou),Y,进口,0,B,1,0,丰田RAV4(进口),
puladuo-jinkou,334,538.0,6.0,普拉多(进口),霸道,http://www.ganji.com/puladuo-jinkou/,toyota,,",puladuo(jinkou),普拉多(进口),puladuo(jinkou)",中大型SUV,http://www.taoche.com/buycar/cc/8/,,6a405dc33adfeb766da40f2623edd8bfdf93c078.jpg,丰田(进口),P,1,50.8,large_suv,6a405dc33adfeb766da40f2623edd8bfdf93c078.jpg?imageView2/1/w/160/h/80/,puladuo(jinkou),Y,进口,0,B,1,0,普拉多(进口),
puruisi,371,535.0,6.0,普锐斯,,http://www.ganji.com/puruisi/,toyota,,",puruisi,普锐斯,puruisi",紧凑型车,http://www.taoche.com/buycar/cc/7/,,3ff345291ce2559d26efd03d923a1e895f92dba4.jpg,一汽丰田,P,1,26.6,compact_car,3ff345291ce2559d26efd03d923a1e895f92dba4.jpg?imageView2/1/w/160/h/80/,puruisi,Y,合资,0,B,1,0,普锐斯,
ruizhi,375,531.0,6.0,锐志,,http://www.ganji.com/ruizhi/,toyota,,",ruizhi,锐志,ruizhi",中型车,http://www.taoche.com/buycar/cc/6/,,e26139e2f70cbb9aced238c17c84fe380fa99cf7.jpg,一汽丰田,R,1,26.2,mid_car,e26139e2f70cbb9aced238c17c84fe380fa99cf7.jpg?imageView2/1/w/160/h/80/,ruizhi,Y,合资,0,B,1,0,锐志,
yalishi,505,526.0,6.0,雅力士,,http://www.ganji.com/yalishi/,toyota,,",yalishi,雅力士,yalishi",小型车,http://www.taoche.com/buycar/cc/4/,,54d8b128e65d68769988675b82c7b2b17aa5ed38.jpg,广汽丰田,Y,1,10.4,small_car,54d8b128e65d68769988675b82c7b2b17aa5ed38.jpg?imageView2/1/w/160/h/80/,yalishi,Y,合资,0,B,1,0,雅力士,
fj-kuluze,513,1331.0,1.0,FJ 酷路泽,,www.baixing.com/ershouqiche/m10958/,toyota,,",FJ kuluze,FJ 酷路泽,FJ kuluze",中型SUV,http://www.taoche.com/buycar/cc/8/,,f3d80f6f1d2af4ee1ab57f10739fcd41709de42e.jpg,丰田(进口),F,1,52.0,mid_suv,f3d80f6f1d2af4ee1ab57f10739fcd41709de42e.jpg?imageView2/1/w/160/h/80/,FJ kuluze,Y,进口,0,B,1,0,FJ 酷路泽,
kaluola,526,530.0,6.0,卡罗拉,,http://www.ganji.com/kaluola/,toyota,,",qialuola,卡罗拉,qialuola",紧凑型车,http://www.taoche.com/buycar/cc/7/,,6e57acd9cbf9c156f5988515c870ac57997136d8.jpg,一汽丰田,Q,1,15.0,compact_car,6e57acd9cbf9c156f5988515c870ac57997136d8.jpg?imageView2/1/w/160/h/80/,qialuola,Y,合资,0,B,1,0,卡罗拉,
hanlanda-jinkou,549,1328.0,1.0,汉兰达(进口),,www.baixing.com/ershouqiche/m11206/,toyota,,",hanlanda(jinkou),汉兰达(进口),hanlanda(jinkou)",中型SUV,,,09e5a916067e0a8923ed3d2f86a27e3d.jpg,丰田(进口),H,1,45.3,mid_suv,09e5a916067e0a8923ed3d2f86a27e3d.jpg?imageView2/1/w/160/h/80/,hanlanda(jinkou),Y,进口,0,B,1,0,汉兰达(进口),
landekuluzejinkou,550,1500.0,2224.0,兰德酷路泽(进口),陆地巡洋舰,http://www.che168.com/china/fengtian/landekuluzejinkou/,toyota,,",landekuluze(jinkou),兰德酷路泽(进口),landekuluze(jinkou)",中大型SUV,,,1b52d3a6b93b00030887b0a609d72ccc9d4c7d2a.jpg,丰田(进口),L,1,118.4,large_suv,1b52d3a6b93b00030887b0a609d72ccc9d4c7d2a.jpg?imageView2/1/w/160/h/80/,landekuluze(jinkou),Y,进口,0,B,1,0,兰德酷路泽(进口),
venza,762,1333.0,1.0,威飒,,www.baixing.com/ershouqiche/m11138/,toyota,,",weisa,威飒,weisa",中型SUV,,,1263847.jpg,丰田(进口),W,1,45.5,mid_suv,1263847.jpg?imageView2/1/w/160/h/80/,weisa,Y,进口,0,B,1,0,威飒,
toyota-rav4,770,524.0,6.0,RAV4荣放,,http://www.ganji.com/toyota-rav4/,toyota,8370.0,",RAV4rongfang,RAV4荣放,RAV4rongfang",紧凑型SUV,http://www.taoche.com/buycar/cc/8/,,998aaa2e49ee8ae2a3b0d1879059ff4197b7f3fa.jpg,一汽丰田,R,1,22.8,compact_suv,998aaa2e49ee8ae2a3b0d1879059ff4197b7f3fa.jpg?imageView2/1/w/160/h/80/,RAV4rongfang,Y,合资,0,B,1,0,RAV4荣放,
hanlanda,771,516.0,6.0,汉兰达,,http://www.ganji.com/hanlanda/,toyota,,",hanlanda,汉兰达,hanlanda",中型SUV,http://www.taoche.com/buycar/cc/8/,,c40151782c3175b965727a1b14d4c68cc7586530.jpg,广汽丰田,H,1,33.5,mid_suv,c40151782c3175b965727a1b14d4c68cc7586530.jpg?imageView2/1/w/160/h/80/,hanlanda,Y,合资,0,B,1,0,汉兰达,
huangguan,882,1497.0,2224.0,皇冠,,http://www.che168.com/china/fengtian/huangguan/,toyota,,",huangguan,皇冠,huangguan",中大型车,,,2ef1139f6bb83897ce7ad1b3d8d71919f534c8b2.jpg,一汽丰田,H,1,39.9,large_car,2ef1139f6bb83897ce7ad1b3d8d71919f534c8b2.jpg?imageView2/1/w/180/h/90/,huangguan,Y,合资,0,B,1,0,皇冠,
car_autohome_model_963,963,3224.0,,凯美瑞(海外),,,toyota,,",kaimeirui(haiwai),凯美瑞(海外),kaimeirui(haiwai)",中型车,,,9a389d47d5f4465175d9bf32eeedf176.png,丰田(进口),K,1,,,9a389d47d5f4465175d9bf32eeedf176.png?imageView2/1/w/160/h/80/,kaimeirui(haiwai),Y,国产,0,B,1,0,凯美瑞(海外),
hongshan,964,518.0,6.0,红杉,,http://www.ganji.com/hongshan/,toyota,,",hongshan,红杉,hongshan",大型SUV,http://www.taoche.com/buycar/cc/8/,,15127b6b8ddd9b4f06bed4fd81c14ab125d0825d.jpg,丰田(进口),H,1,111.0,full_suv,15127b6b8ddd9b4f06bed4fd81c14ab125d0825d.jpg?imageView2/1/w/160/h/80/,hongshan,Y,进口,0,B,1,0,红杉,
sienna,983,1392.0,1.0,Sienna,塞纳,http://www.taoche.com/buycar/serial/fengtiansaina/,toyota,,",Sienna,Sienna,Sienna",MPV,http://www.taoche.com/buycar/cc/5/,,fengtiansienna(jinkou).jpg,丰田(进口),S,1,62.6,mpv,fengtiansienna(jinkou).jpg?imageView2/1/w/160/h/80/,Sienna,Y,进口,0,B,1,0,Sienna,
aierfa,2107,540.0,6.0,埃尔法,,http://www.ganji.com/aierfa/,toyota,,",aierfa,埃尔法,aierfa",MPV,http://www.taoche.com/buycar/cc/5/,,8433feb20624da70eee41fc0cd3b9b81028a3d16.jpg,丰田(进口),A,1,34.6,mpv,8433feb20624da70eee41fc0cd3b9b81028a3d16.jpg?imageView2/1/w/160/h/80/,aierfa,Y,进口,0,B,1,0,埃尔法,
yizhi,2237,537.0,6.0,逸致,,http://www.ganji.com/yizhi/,toyota,,",yizhi,逸致,yizhi",MPV,http://www.taoche.com/buycar/cc/5/,,aff9f41ac1d6925a7507a15094879e534e9eee38.jpg,广汽丰田,Y,1,17.6,mpv,aff9f41ac1d6925a7507a15094879e534e9eee38.jpg?imageView2/1/w/160/h/80/,yizhi,Y,合资,0,B,1,0,逸致,
jieluchi,2244,539.0,6.0,杰路驰,,http://www.ganji.com/jieluchi/,toyota,,",jieluchi,杰路驰,jieluchi",跑车,http://www.taoche.com/buycar/cc/9/,,55ad801b71a9fb0422ed7eaf5f364402c44d29ca.jpg,丰田(进口),J,1,25.7,sc,55ad801b71a9fb0422ed7eaf5f364402c44d29ca.jpg?imageView2/1/w/160/h/80/,jieluchi,Y,进口,0,B,1,0,杰路驰,
tantu,2354,1501.0,2224.0,坦途,,http://www.che168.com/china/fengtian/tantu/,toyota,,",tantu,坦途,tantu",皮卡,,,461c6ad044a4494e5d6dbd37354fcfe5.jpg,丰田(进口),T,1,58.1,pickup,461c6ad044a4494e5d6dbd37354fcfe5.jpg?imageView2/1/w/160/h/80/,tantu,Y,进口,0,B,1,0,坦途,
