slug,car_autohome_model_id,id,source_id,name,alias,url,parent,checker_runtime_id,keywords,classified,classified_url,slug_global,logo_img,mum,first_letter,has_detailmodel,starting_price,classified_slug,thumbnail,pinyin,status,attribute,units,popular,on_sale,score,normalized_name,brand_area
bsT3,4164,2769.0,,比速T3,,,bs,,",bisuT3,比速T3,bisuT3",小型SUV,,,5389df4de3f5ac6b48b828284e9b5365.png,比速汽车,B,1,,small_suv,5389df4de3f5ac6b48b828284e9b5365.png?imageView2/1/w/160/h/80/,bisuT3,Y,国产,0,B,1,0,比速T3,
bsM3,4173,2770.0,,比速M3,,,bs,,",bisuM3,比速M3,bisuM3",MPV,,,a1c73c24cb29a7e477b8edf3e98660be.png,比速汽车,B,1,,mpv,a1c73c24cb29a7e477b8edf3e98660be.png?imageView2/1/w/160/h/80/,bisuM3,Y,国产,0,B,1,0,比速M3,
bsT5,4298,2853.0,,比速T5,,,bs,,",bisuT5,比速T5,bisuT5",中型SUV,,,8cd427ba1c4c11d21423a70af6c9c963.png,比速汽车,B,1,,mid_suv,8cd427ba1c4c11d21423a70af6c9c963.png?imageView2/1/w/160/h/80/,bisuT5,Y,国产,0,B,1,0,比速T5,
car_autohome_model_4489,4489,3511.0,,小鹏汽车G3,,,car_autohome_brand_275,,",xiaopengqicheG3,小鹏汽车G3,xiaopengqicheG3",紧凑型SUV,,,36c1b77f9546eff500e668298b4f2f43.png,小鹏汽车,X,1,,,36c1b77f9546eff500e668298b4f2f43.png?imageView2/1/w/160/h/80/,xiaopengqicheG3,Y,国产,0,B,1,0,小鹏汽车G3,
car_autohome_model_4212,4212,3460.0,,ALPINA B4,,,car_autohome_brand_276,,",ALPINA B4,ALPINA B4,ALPINA B4",中型车,,,46ebeab5031f4cdd70fb0ebf67b93cc3.png,ALPINA,A,1,,,46ebeab5031f4cdd70fb0ebf67b93cc3.png?imageView2/1/w/160/h/80/,ALPINA B4,Y,国产,0,B,1,0,ALPINA B4,
lngk01,4221,2894.0,,领克01,,,lngk,,",lingke01,领克01,lingke01",紧凑型SUV,,,152b88fca6cf3da848405e7e366b4012.png,领克,L,1,,compact_suv,152b88fca6cf3da848405e7e366b4012.png?imageView2/1/w/160/h/80/,lingke01,Y,国产,0,B,1,0,领克01,
lngk03,4402,3135.0,,领克03,,,lngk,,",lingke03,领克03,lingke03",紧凑型车,,,28e4091d71f0fb09523cc197cde5d32b.png,领克,L,1,,compact_car,28e4091d71f0fb09523cc197cde5d32b.png?imageView2/1/w/160/h/80/,lingke03,Y,国产,0,B,1,0,领克03,
lngk02,4616,3041.0,,领克02,,,lngk,,",lingke02,领克02,lingke02",紧凑型SUV,,,7f9541044eada0b696c7938fcad0c663.png,领克,L,1,,compact_suv,7f9541044eada0b696c7938fcad0c663.png?imageView2/1/w/160/h/80/,lingke02,Y,国产,0,B,1,0,领克02,
car_autohome_model_4840,4840,3461.0,,领克01新能源,,,lngk,,",lingke01xinnengyuan,领克01新能源,lingke01xinnengyuan",紧凑型SUV,,,5d6b7f5fcef8a15e5aea1adb07932a19.png,领克,L,1,,,5d6b7f5fcef8a15e5aea1adb07932a19.png?imageView2/1/w/160/h/80/,lingke01xinnengyuan,Y,国产,0,B,1,0,领克01新能源,
futianqietuix7,3990,2613.0,,伽途ix7,,,car_autohome_brand_96,,",qietuix7,伽途ix7,qietuix7",微面,,,37e0051d5116b97e00397f56e8bfcec6.png,福田汽车,Q,1,,mb,37e0051d5116b97e00397f56e8bfcec6.png?imageView2/1/w/160/h/80/,qietuix7,Y,国产,0,B,1,0,伽途ix7,
futianqietuix5,3991,2614.0,,伽途ix5,,,car_autohome_brand_96,,",qietuix5,伽途ix5,qietuix5",微面,,,e5e2d881174300dba654c3cbd03316e1.png,福田汽车,Q,1,,mb,e5e2d881174300dba654c3cbd03316e1.png?imageView2/1/w/160/h/80/,qietuix5,Y,国产,0,B,1,0,伽途ix5,
ftanqetim6,4227,2809.0,,伽途im6,,,car_autohome_brand_96,,",qietuim6,伽途im6,qietuim6",MPV,,,69af77385c2ca961bc9baf8d45eae152.png,福田汽车,Q,1,,mpv,69af77385c2ca961bc9baf8d45eae152.png?imageView2/1/w/160/h/80/,qietuim6,Y,国产,0,B,1,0,伽途im6,
ftanqetim8,4228,2810.0,,伽途im8,,,car_autohome_brand_96,,",qietuim8,伽途im8,qietuim8",MPV,,,e1099481d81634968dc829faa89372f0.png,福田汽车,Q,1,,mpv,e1099481d81634968dc829faa89372f0.png?imageView2/1/w/160/h/80/,qietuim8,Y,国产,0,B,1,0,伽途im8,
ftinqitGT,4760,3055.0,,伽途GT,,,car_autohome_brand_96,,",qietuGT,伽途GT,qietuGT",中型SUV,,,d23ba5255957e7797388ec067689474f.png,福田汽车,Q,1,,mid_suv,d23ba5255957e7797388ec067689474f.png?imageView2/1/w/160/h/80/,qietuGT,Y,国产,0,B,1,0,伽途GT,
WEYVV5,4253,2934.0,,WEY VV5,,,WEY,,",WEY VV5,WEY VV5,WEY VV5",紧凑型SUV,,,c0d7b499cdff5aca93d70e082e8356a4.png,长城汽车,W,1,,compact_suv,c0d7b499cdff5aca93d70e082e8356a4.png?imageView2/1/w/160/h/80/,WEY VV5,Y,国产,0,B,1,0,WEY VV5,
WEYP8,4441,3026.0,,WEY P8,,,WEY,,",WEY P8,WEY P8,WEY P8",中型SUV,,,2c7d3b802a01ae9f156b66d0efe9ef7c.png,长城汽车,W,1,,mid_suv,2c7d3b802a01ae9f156b66d0efe9ef7c.png?imageView2/1/w/160/h/80/,WEY P8,Y,国产,0,B,1,0,WEY P8,
WEYVV6,4631,3104.0,,WEY VV6,,,WEY,,",WEY VV6,WEY VV6,WEY VV6",紧凑型SUV,,,5db650eb34013cef730fca7b0593b1cc.png,长城汽车,W,1,,compact_suv,5db650eb34013cef730fca7b0593b1cc.png?imageView2/1/w/160/h/80/,WEY VV6,Y,国产,0,B,1,0,WEY VV6,
car_autohome_model_4881,4881,3512.0,,蔚来ES6,,,wiliqch,,",weilaiES6,蔚来ES6,weilaiES6",中型SUV,,,6d6d04e021eff01776dc266dda1bda50.png,蔚来,W,1,,,6d6d04e021eff01776dc266dda1bda50.png?imageView2/1/w/160/h/80/,weilaiES6,Y,国产,0,B,1,0,蔚来ES6,
wimEX5,4652,3105.0,,威马EX5,,,wim,,",weimaEX5,威马EX5,weimaEX5",紧凑型SUV,,,81eefd739a72d5b93a24d477f01f25ff.png,威马汽车,W,1,,compact_suv,81eefd739a72d5b93a24d477f01f25ff.png?imageView2/1/w/160/h/80/,weimaEX5,Y,国产,0,B,1,0,威马EX5,
car_autohome_model_4292,4292,3465.0,,睿行S50T,,,changanshangyong,,",ruixingS50T,睿行S50T,ruixingS50T",MPV,,,789ec1d85bf56c6f4fb733ca5a6e33ba.png,长安轻型车,R,1,,,789ec1d85bf56c6f4fb733ca5a6e33ba.png?imageView2/1/w/160/h/80/,ruixingS50T,Y,国产,0,B,1,0,睿行S50T,
chngnrixngEM80,4892,3075.0,,睿行EM80,,,changanshangyong,,",ruixingEM80,睿行EM80,ruixingEM80",轻客,,,37d2979a947b973bd56f5e43e8befd15.png,长安轻型车,R,1,,qk,37d2979a947b973bd56f5e43e8befd15.png?imageView2/1/w/160/h/80/,ruixingEM80,Y,国产,0,B,1,0,睿行EM80,
car_autohome_model_5074,5074,7735.0,,神骐T10,,,changanshangyong,,",shenqiT10,神骐T10,shenqiT10",微卡,,,,长安轻型车,S,1,,,,shenqiT10,Y,国产,0,B,1,0,神骐T10,
car_autohome_model_4470,4470,7736.0,,NEVS 93,,,car_autohome_brand_295,,",NEVS 93,NEVS 93,NEVS 93",中型车,,,,NEVS国能汽车,N,1,,,,NEVS 93,Y,国产,0,B,1,0,NEVS 93,
