used_years,k
0,0.89
1,0.721609228
2,0.66090414
3,0.48202407
4,0.45
5,0.4179816
6,0.3859632
7,0.3539448
8,0.321926401
9,0.289908001
10,0.257889601
11,0.225871201
12,0.193852801
13,0.161834401
14,0.129816001
15,0.097797602
16,0.065779202
17,0.033760802
18,0.01
19,0.01
20,0.01
